2num,2First,2Last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
233,Scott,Taylor,Symantec,8/1/08,15855.0,75607.0,TMT,1,1,,0,Scott Taylor,M
234,Shundrawn,Thomas,Northern Trust,5/28/14,7982.0,58246.0,TMT,1,1,,0,Shundrawn Thomas,M
235,Michael,Todman,Whirlpool,3/25/01,11465.0,25419.0,TMT,1,0,,0,Michael Todman,M
236,Tracey,Travis,Estee Lauder,7/18/12,61567.0,82642.0,TMT,1,0,,1,Tracey Travis,F
237,Tracey,Travis,Polo Ralph Lauren,11/20/04,64891.0,85072.0,TMT,1,1,,1,Tracey Travis,F
238,Tracey,Travis,Estee Lauder,7/18/12,61567.0,82642.0,TMT,1,0,,1,Tracey Travis,F
239,Michael,Triplett,Cigna,2/23/17,2547.0,64186.0,TMT,1,1,,0,Michael Triplett,M
240,Michael,Tucker,Avis Budget Group,4/22/10,3278.0,25487.0,TMT,1,0,,0,Michael Tucker,M
241,Reed,Tuckson,UnitedHealth Group,9/16/00,10903.0,92655.0,TMT,1,0,,0,Reed Tuckson,M
242,Kellye,Walker,Huntington Ingalls Industries,12/17/14,186310.0,12623.0,TMT,1,1,,1,Kellye Walker,F
243,Kathy,Waller,Coca-Cola,2/20/14,3144.0,11308.0,TMT,1,1,,1,Kathy Waller,F
244,Laysha,Ward,Target,12/17/14,3813.0,49154.0,TMT,1,1,,1,Laysha Ward,F
245,Kevin,Warren,Xerox,12/7/16,11636.0,27983.0,TMT,1,1,,0,Kevin Warren,M
246,Robin,Washington,Gilead Sciences,4/21/08,24856.0,77274.0,TMT,1,0,,1,Robin Washington,F
247,Jeffrey,Weaver,KeyCorp,7/5/05,9783.0,64995.0,TMT,1,0,,0,Jeffrey Weaver,M
248,Mary Beth,West,Kraft Foods,10/29/07,142953.0,89006.0,TMT,1,0,,1,Mary Beth West,F
249,Roderick,West,Entergy,6/7/10,7366.0,24010.0,TMT,1,1,,0,Roderick West,M
250,Teresa,White,A_ac,9/29/14,1449.0,57904.0,TMT,1,1,,1,Teresa White,F
251,Anr_,Williams,American Express,11/4/11,1447.0,59176.0,TMT,1,1,,0,Anr_ Williams,M
252,Felicia,Williams,Macy¡¯s,1/15/16,4611.0,77462.0,TMT,1,1,,1,Felicia Williams,F
253,Xavier,Williams,AT&T,10/12/17,9899.0,66093.0,TMT,1,0,,0,Xavier Williams,M
254,Kathleen,Wilson-Thompson,Walgreens Boots Alliance,11/23/09,11264.0,19502.0,TMT,1,1,,1,Kathleen Wilson-Thompson,F
255,Mary Beth,Winston,Family Dollar Stores,4/10/12,4560.0,53866.0,TMT,1,1,,1,Mary Beth Winston,F
256,Christopher,Womack,Southern Company,12/22/08,9850.0,18411.0,TMT,1,0,,0,Christopher Womack,M
257,Teresa,Wynn Roseborough,Home Depot,10/7/11,5680.0,66181.0,TMT,1,0,,1,Teresa Wynn Roseborough,F
