obs,1num,2num,tic,3num,3CompanyID,1conm_x,2Company,3CompanyName,gvkey,1ceo_minority,2ExecType,2director_name,2BE(Black?),*name,3ethnicity (from boardex),discrepancy_2.Bermiss_3.BoardEx,*ceo_race,*ceo_successor_race,2Female,2ceo_gender,*ceo_gender,*ceo_successor_gender,ceo_name_2020_changed,source_verifying discrepant ceo name,*ExecType,*BlackTMTnum,*BlackTMT?,2First,2Last,3RoleName,3DirectorName,3Seniority,3ceo?,3DateStartRole,3DateEndRole,*2020active,3DirectorID,2AnnDate,2permno,2Confounded,2Interim
409,308,163,GIS,257,13034,GENERAL MILLS INC,General Mills,GENERAL MILLS INC,5071,0,TMT,Marc Belton,1,Jeffrey L. Harmening,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Marc,Belton,Chairman/CEO,Jeff Harmening,Executive Director,1,1/1/18,,Yes,988199,5/4/06,17144,1,
569,441,167,ETR,720,2978540,ENTERGY CORP,Entergy,ETRUSCUS RESOURCES CORP,7366,0,TMT,Marcus Brown,1,Leo Denault,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Marcus,Brown,Chairman (Executive),Fiore Aliperti,Executive Director,1,1/15/19,11/23/21,Yes,655507,1/31/12,24010,1,
571,441,167,ETR,721,2978540,ENTERGY CORP,Entergy,ETRUSCUS RESOURCES CORP,7366,0,TMT,Marcus Brown,1,Leo Denault,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Marcus,Brown,President/CEO,Gordon Lam,Executive Director,1,1/15/19,7/1/21,Yes,2141493,1/31/12,24010,1,
567,441,167,ETR,207,10750,ENTERGY CORP,Entergy,ENTERGY CORP,7366,0,TMT,Marcus Brown,1,Leo Denault,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Marcus,Brown,Chairman/CEO,Leo Denault,Executive Director,1,2/1/13,11/1/22,Yes,204855,1/31/12,24010,1,
596,455,209,C,713,2667306,CITIGROUP INC,Citigroup,CONTACT GOLD CORP (Winwell Ventures Inc prior to 06/2017),3243,0,TMT,Mark Mason,1,Jane Fraser,CAUCASIAN/WHITE,Yes,White,,0,Male,Female,,,,TMT,,0,Mark,Mason,President/CEO,Matt Lennox-King,Executive Director,1,6/7/17,,Yes,1480332,9/7/06,70519,1,
595,455,209,C,131,6930,CITIGROUP INC,Citigroup,CITIGROUP INC,3243,0,TMT,Mark Mason,1,Jane Fraser,CAUCASIAN/WHITE,Yes,White,,0,Male,Female,,,,TMT,,0,Mark,Mason,CEO,Mike Corbat,Executive Director,1,10/15/12,2/26/21,Yes,604908,9/7/06,70519,1,
21,14,184,HD,281,14982,HOME DEPOT INC,Home Depot,HOME DEPOT INC,5680,0,TMT,Marvin Ellison,1,Craig Menear,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,https://corporate.homedepot.com/news/leadership/home-depot-names-ted-decker-ceo-effective-march-1-2022-craig-menear-continues-chair,TMT,,0,Marvin,Ellison,Chairman/President/CEO,Craig Menear,Executive Director,1,2/2/15,10/5/20,Yes,536170,8/25/08,66181,1,
5,3,17,LOW,350,19193,LOWE'S COS INC,Lowe's Companies,LOWE'S COS INC,6829,1,CEO,Marvin Ellison,1,Marvin Ellison,BLACK/AFRICAN AMERICAN,No,Black,,0,Male,Male,,,,CEO,,,Marvin,Ellison,President/CEO,Marvin Ellison,Executive Director,1,7/2/18,6/1/21,Yes,489833,5/22/18,61399,0,0
509,390,249,MDLZ,329,18164,MONDELEZ INTERNATIONAL INC,Kraft Foods,MONDELEZ INTERNATIONAL INC,142953,0,TMT,Mary Beth West,1,Dirk Van de Put,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Mary Beth,West,Chairman/CEO,Doctor Dirk van de Put,Executive Director,1,4/1/18,,Yes,640369,10/29/07,89006,0,
85,61,75,UPS,545,32137,UNITED PARCEL SERVICE INC,United Parcel Service,UNITED PARCEL SERVICE (UPS) INC,10920,0,CEO,Michael Eskew,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Michael,Eskew,Chairman/CEO,David Abney,Executive Director,1,2/10/16,6/1/20,Yes,41806,8/16/01,87447,0,0
649,494,231,HII,663,1694757,HUNTINGTON INGALLS IND INC,Huntington Ingalls Industries,HUNTINGTON INGALLS INDUSTRIES INC,186310,0,TMT,Michael Smith,1,Mike Petters,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Michael,Smith,President/CEO,Mike Petters,Executive Director,1,3/31/11,3/1/22,Yes,487356,10/30/15,12623,1,
134,103,236,WHR,569,33437,WHIRLPOOL CORP,Whirlpool,WHIRLPOOL CORP,11465,0,TMT,Michael Todman,1,Marc Bitzer,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Michael,Todman,Chairman/President/CEO,Doctor Marc Bitzer,Executive Director,1,1/1/19,9/1/21,Yes,485987,3/25/01,25419,0,
316,243,240,CI,125,6837,CIGNA CORP,Cigna,THE CIGNA GROUP (Cigna Corp prior to 02/2023),2547,0,TMT,Michael Triplett,1,David Cordani,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Michael,Triplett,President/CEO,David Cordani,Executive Director,1,12/25/09,1/1/22,Yes,486024,2/23/17,64186,1,
583,448,206,WFC,617,817190,WELLS FARGO & CO,Wells Fargo,WALL FINANCIAL CORP,8007,0,TMT,Michelle Lee,1,Charles Scharf,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Michelle,Lee,President/CEO/CFO/Treasurer,Bruno Wall,Executive Director,1,7/6/94,,Yes,1046778,10/16/14,38703,1,
581,448,206,WFC,565,33264,WELLS FARGO & CO,Wells Fargo,WELLS FARGO & CO,8007,0,TMT,Michelle Lee,1,Charles Scharf,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Michelle,Lee,President/CEO,Charlie Scharf,Executive Director,1,10/21/19,,Yes,33951,10/16/14,38703,1,
362,277,191,T,516,30372,AT&T INC,AT&T,TELUS CORP,9899,0,TMT,Mirian Graddick,1,John Stankey,CAUCASIAN/WHITE,Yes,White,,1,Female,Female,,,,TMT,,0,Mirian,Graddick,President/CEO,Darren Entwistle,Executive Director,1,8/10/15,,Yes,336808,2/12/99,66093,1,
360,277,191,T,482,27163,AT&T INC,AT&T,AT&T INC (SBC Communications Inc prior to 11/2005),9899,0,TMT,Mirian Graddick,1,John Stankey,CAUCASIAN/WHITE,Yes,White,,1,Female,Female,,,,TMT,,0,Mirian,Graddick,Chairman/CEO,Randall Stephenson Jr,Executive Director,1,10/1/19,7/1/20,Yes,33072,2/12/99,66093,1,
315,243,205,CI,125,6837,CIGNA CORP,Cigna,THE CIGNA GROUP (Cigna Corp prior to 02/2023),2547,0,TMT,Nicole Jones,1,David Cordani,CAUCASIAN/WHITE,Yes,White,,1,Female,Female,,,,TMT,,0,Nicole,Jones,President/CEO,David Cordani,Executive Director,1,12/25/09,1/1/22,Yes,486024,5/25/10,64186,0,
135,104,77,MTD,372,20478,METTLER-TOLEDO INTL INC,Mettler-Toledo International,METTLER TOLEDO INTERNATIONAL INC,65772,0,CEO,Olivier Filliol,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Olivier,Filliol,President/CEO,Olivier Filliol,Executive Director,1,1/1/09,3/31/21,Yes,205031,11/1/07,85621,0,0
370,284,194,KEY,323,17862,KEYCORP,KeyCorp,KEYCORP,9783,0,TMT,Paul Harris,1,Beth E. Mooney,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Paul,Harris,Chairman/President/CEO,Beth Mooney,Executive Director,1,5/1/11,5/1/20,Yes,50551,2/3/03,64995,1,
231,175,199,CTAS,128,6877,CINTAS CORP,Cintas,CINTAS CORP,3062,0,TMT,Phillip Holloman,1,Scott D. Farmer,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Phillip,Holloman,Chairman/CEO,Scott Farmer,Executive Director,1,9/30/16,5/31/21,Yes,38311,1/19/08,23660,0,
508,389,213,MCD,365,19944,MCDONALD'S CORP,McDonald¡¯s,MCDONALD'S CORP,7154,0,TMT,Raymond Mines,1,Chris Kempczinski,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Raymond,Mines,President/CEO,Chris Kempczinski,Executive Director,1,11/1/19,,Yes,1381393,9/28/98,43449,0,
414,310,242,UNH,544,32107,UNITEDHEALTH GROUP INC,UnitedHealth Group,UNITEDHEALTH GROUP INC,10903,0,TMT,Reed Tuckson,1,David S. Wichmann,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Reed,Tuckson,CEO,Dave Wichmann,Executive Director,1,9/1/17,2/4/21,Yes,333999,9/16/00,92655,0,
123,95,195,CMS,137,7147,CMS ENERGY CORP,CMS Energy,CMS ENERGY CORP,3439,0,TMT,Rejji Hayes,1,Patricia K. Poppe,CAUCASIAN/WHITE,Yes,White,,0,Male,Female,,,,TMT,,0,Rejji,Hayes,President/CEO,Patti Poppe,Executive Director,1,7/1/16,12/1/20,Yes,1094129,5/1/17,23229,1,
223,168,28,MTB,351,19327,M & T BANK CORP,M&T Bank,M&T BANK CORP,4699,1,CEO,Rene Jones,1,Ren_ F. Jones,CAUCASIAN/WHITE,Yes,Black,,0,Male,Male,,,https://newsroom.mtb.com/rene-f-jones,CEO,,,Rene,Jones,Chairman/CEO,Rene Jones,Executive Director,1,12/20/17,,Yes,484476,12/20/17,35554,1,0
193,143,186,UNP,532,31786,UNION PACIFIC CORP,Union Paci_c,UNION PACIFIC CORP,10867,0,TMT,Rhonda Ferguson,1,Lance Fritz,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Rhonda,Ferguson,Chairman/President/CEO,Lance Fritz,Executive Director,1,10/1/15,8/14/23,Yes,603672,6/7/16,48725,0,
439,330,217,DIS,,,DISNEY (WALT) CO,Walt Disney,,3980,0,TMT,Richard Nanula,1,Robert A. Iger,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Richard,Nanula,,,,,,,Yes,,8/29/91,26403,1,
539,416,247,GILD,259,13273,GILEAD SCIENCES INC,Gilead Sciences,GILEAD SCIENCES INC,24856,0,TMT,Robin Washington,1,Daniel O'Day,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Robin,Washington,Chairman/CEO,Daniel O'Day,Executive Director,1,3/1/19,,Yes,1015485,4/21/08,77274,0,
570,441,250,ETR,720,2978540,ENTERGY CORP,Entergy,ETRUSCUS RESOURCES CORP,7366,0,TMT,Roderick West,1,Leo Denault,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Roderick,West,Chairman (Executive),Fiore Aliperti,Executive Director,1,1/15/19,11/23/21,Yes,655507,6/7/10,24010,1,
572,441,250,ETR,721,2978540,ENTERGY CORP,Entergy,ETRUSCUS RESOURCES CORP,7366,0,TMT,Roderick West,1,Leo Denault,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Roderick,West,President/CEO,Gordon Lam,Executive Director,1,1/15/19,7/1/21,Yes,2141493,6/7/10,24010,1,
568,441,250,ETR,207,10750,ENTERGY CORP,Entergy,ENTERGY CORP,7366,0,TMT,Roderick West,1,Leo Denault,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Roderick,West,Chairman/CEO,Leo Denault,Executive Director,1,2/1/13,11/1/22,Yes,204855,6/7/10,24010,1,
628,476,157,PARA,110,6098,PARAMOUNT GLOBAL,Cbs,PARAMOUNT GLOBAL (Viacomcbs Inc prior to 02/2022),13714,0,CEO,Roger King,0,Joanne Crevoiserat,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,Roger,King,President/CEO,Bob Bakish,Executive Director,1,12/4/19,,Yes,23537,1/19/00,75104,0,0
295,230,135,WBA,560,33026,WALGREENS BOOTS ALLIANCE INC,Walgreens,WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),11264,0,CEO,Rosalind Brewer,1,Stefano Pessina,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,https://www.walgreensbootsalliance.com/news-media/press-releases/2021/walgreens-boots-alliance-appoints-rosalind-brewer-chief-executive,CEO,,,Rosalind,Brewer,Chairman (Executive),Jim Skinner,Executive Director,1,1/9/15,3/15/21,Yes,35981,1/26/21,19502,0,0
294,230,135,WBA,559,33026,WALGREENS BOOTS ALLIANCE INC,Walgreens,WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),11264,0,CEO,Rosalind Brewer,1,Stefano Pessina,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,https://www.walgreensbootsalliance.com/news-media/press-releases/2021/walgreens-boots-alliance-appoints-rosalind-brewer-chief-executive,CEO,,,Rosalind,Brewer,Executive Vice Chairman/CEO,Stefano Pessina,Executive Director,1,7/9/15,3/15/21,Yes,3997,1/26/21,19502,0,0
55,39,234,NLOK,,,NORTONLIFELOCK INC,Symantec,,15855,0,TMT,Scott Taylor,1,Vincent Pilette ,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Scott,Taylor,,,,,,,Yes,,8/1/08,75607,1,
512,392,235,NTRS,397,22509,NORTHERN TRUST CORP,Northern Trust,NORTHERN TRUST CORP,7982,0,TMT,Shundrawn Thomas,1,Michael O'Grady,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Shundrawn,Thomas,Chairman/President/CEO,Mike O'Grady,Executive Director,1,1/23/19,,Yes,1122917,5/28/14,58246,1,
25,16,251,AFL,,,AFLAC INC,A_ac,,1449,0,TMT,Teresa White,1,Daniel P. Amos,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,https://www.aflac.com/about-aflac/our-company/management-team.aspx,TMT,,0,Teresa,White,,,,,,,Yes,,9/29/14,57904,1,
22,14,258,HD,281,14982,HOME DEPOT INC,Home Depot,HOME DEPOT INC,5680,0,TMT,Teresa Wynn Roseborough,1,Craig Menear,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,https://corporate.homedepot.com/news/leadership/home-depot-names-ted-decker-ceo-effective-march-1-2022-craig-menear-continues-chair,TMT,,0,Teresa,Wynn Roseborough,Chairman/President/CEO,Craig Menear,Executive Director,1,2/2/15,10/5/20,Yes,536170,10/7/11,66181,0,
634,480,238,RL,439,24726,RALPH LAUREN CORP,Polo Ralph Lauren,RALPH LAUREN CORP,64891,0,TMT,Tracey Travis,1,Patrice Louvet,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,Vice Chairman/Chief Innovation Officer,David Lauren,Executive Director,1,10/7/16,3/1/22,Yes,1319543,11/20/04,85072,1,
605,458,237,EL,223,11074,ESTEE LAUDER COMPANIES INC,Estee Lauder,ESTEE LAUDER COS INC,61567,0,TMT,Tracey Travis,1,Fabrizio Freda,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,President/CEO,Fabrizio Freda,Executive Director,1,7/1/09,,Yes,590109,7/18/12,82642,0,
606,458,239,EL,223,11074,ESTEE LAUDER COMPANIES INC,Estee Lauder,ESTEE LAUDER COS INC,61567,0,TMT,Tracey Travis,1,Fabrizio Freda,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,President/CEO,Fabrizio Freda,Executive Director,1,7/1/09,,Yes,590109,7/18/12,82642,0,
601,458,237,EL,219,11074,ESTEE LAUDER COMPANIES INC,Estee Lauder,ESTEE LAUDER COS INC,61567,0,TMT,Tracey Travis,1,Fabrizio Freda,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,Chairman Emeritus,Leonard Lauder,Executive Director,1,7/1/09,11/17/23,Yes,51286,7/18/12,82642,0,
602,458,239,EL,219,11074,ESTEE LAUDER COMPANIES INC,Estee Lauder,ESTEE LAUDER COS INC,61567,0,TMT,Tracey Travis,1,Fabrizio Freda,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,Chairman Emeritus,Leonard Lauder,Executive Director,1,7/1/09,11/17/23,Yes,51286,7/18/12,82642,0,
633,480,238,RL,438,24726,RALPH LAUREN CORP,Polo Ralph Lauren,RALPH LAUREN CORP,64891,0,TMT,Tracey Travis,1,Patrice Louvet,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,President/CEO,Patrice Louvet,Executive Director,1,7/3/17,,Yes,884348,11/20/04,85072,1,
632,480,238,RL,437,24726,RALPH LAUREN CORP,Polo Ralph Lauren,RALPH LAUREN CORP,64891,0,TMT,Tracey Travis,1,Patrice Louvet,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,Executive Chairman/Chief Creative Officer,Ralph Lauren,Executive Director,1,11/2/15,,Yes,220546,11/20/04,85072,1,
603,458,237,EL,221,11074,ESTEE LAUDER COMPANIES INC,Estee Lauder,ESTEE LAUDER COS INC,61567,0,TMT,Tracey Travis,1,Fabrizio Freda,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,Division Chairman,The Hon. Ronald Lauder,Executive Director,1,11/11/16,,Yes,51301,7/18/12,82642,0,
604,458,239,EL,221,11074,ESTEE LAUDER COMPANIES INC,Estee Lauder,ESTEE LAUDER COS INC,61567,0,TMT,Tracey Travis,1,Fabrizio Freda,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,Division Chairman,The Hon. Ronald Lauder,Executive Director,1,11/11/16,,Yes,51301,7/18/12,82642,0,
599,458,237,EL,217,11074,ESTEE LAUDER COMPANIES INC,Estee Lauder,ESTEE LAUDER COS INC,61567,0,TMT,Tracey Travis,1,Fabrizio Freda,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,Chairman (Executive),William Lauder,Executive Director,1,7/1/09,,Yes,51266,7/18/12,82642,0,
600,458,239,EL,217,11074,ESTEE LAUDER COMPANIES INC,Estee Lauder,ESTEE LAUDER COS INC,61567,0,TMT,Tracey Travis,1,Fabrizio Freda,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Tracey,Travis,Chairman (Executive),William Lauder,Executive Director,1,7/1/09,,Yes,51266,7/18/12,82642,0,
454,342,183,DPZ,583,90132,DOMINO'S PIZZA INC,Domino¡¯s Pizza,DOMINO'S PIZZA INC,160211,0,TMT,Troy Ellis,1,Richard E. Allison Jr.,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Troy,Ellis,CEO,Ritch Allison Jr,Executive Director,1,7/1/18,4/26/22,Yes,1110512,6/30/15,90248,1,
311,242,170,XRX,573,33850,XEROX HOLDINGS CORP,Xerox,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),11636,0,TMT,Ursula Burns,1,"	John Visentin",CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Ursula,Burns,Vice Chairman/CEO,John Visentin,Executive Director,1,5/14/18,6/28/22,Yes,1117881,4/3/07,27983,0,
310,242,6,XRX,573,33850,XEROX HOLDINGS CORP,Xerox,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),11636,0,CEO,Ursula Burns,1,"	John Visentin",CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,CEO,,,Ursula,Burns,Vice Chairman/CEO,John Visentin,Executive Director,1,5/14/18,6/28/22,Yes,1117881,5/21/09,27983,1,0
76,55,221,KO,140,7204,COCA-COLA CO,Coca-Cola,COCA-COLA CO,3144,0,TMT,Vicki Palmer,1,James Quincey,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Vicki,Palmer,Chairman/CEO,James Quincey,Executive Director,1,4/24/19,,Yes,877797,1/13/04,11308,1,
307,240,227,URI,546,32144,UNITED RENTALS INC,United Rentals,UNITED RENTALS INC,66065,0,TMT,William Plummer,1,Matthew Flannery,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,William,Plummer,President/CEO,Matt Flannery,Executive Director,1,5/8/19,,Yes,628081,11/24/08,85663,1,
62,45,108,TROW,443,25020,PRICE (T. ROWE) GROUP,T. Rowe Price Group,T ROWE PRICE GROUP INC,12138,0,CEO,William Stromberg,0,,CAUCASIAN/WHITE,No,White,,0,Male,Male,,,,CEO,,,William,Stromberg,Chairman/President/CEO,Bill Stromberg,Executive Director,1,4/25/19,2/11/21,Yes,489855,5/6/15,10138,1,0
378,289,180,MRK,484,27219,MERCK & CO,Merck,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),7257,1,TMT,Willie Deese,1,Kenneth Frazier,BLACK/AFRICAN AMERICAN,No,Black,,0,Male,Male,,,https://www.annualreports.com/HostedData/AnnualReportArchive/m/NYSE_MRK_2020.pdf,TMT,,1,Willie,Deese,Chairman/President/CEO,Ken Frazier,Executive Director,1,12/1/11,4/1/21,Yes,31551,5/25/05,22752,0,
363,277,254,T,516,30372,AT&T INC,AT&T,TELUS CORP,9899,0,TMT,Xavier Williams,1,John Stankey,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Xavier,Williams,President/CEO,Darren Entwistle,Executive Director,1,8/10/15,,Yes,336808,10/12/17,66093,0,
361,277,254,T,482,27163,AT&T INC,AT&T,AT&T INC (SBC Communications Inc prior to 11/2005),9899,0,TMT,Xavier Williams,1,John Stankey,CAUCASIAN/WHITE,Yes,White,,0,Male,Male,,,,TMT,,0,Xavier,Williams,Chairman/CEO,Randall Stephenson Jr,Executive Director,1,10/1/19,7/1/20,Yes,33072,10/12/17,66093,0,
582,448,198,WFC,617,817190,WELLS FARGO & CO,Wells Fargo,WALL FINANCIAL CORP,8007,0,TMT,Yvette Hollingsworth Clark,1,Charles Scharf,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Yvette,Hollingsworth Clark,President/CEO/CFO/Treasurer,Bruno Wall,Executive Director,1,7/6/94,,Yes,1046778,5/14/12,38703,0,
580,448,198,WFC,565,33264,WELLS FARGO & CO,Wells Fargo,WELLS FARGO & CO,8007,0,TMT,Yvette Hollingsworth Clark,1,Charles Scharf,CAUCASIAN/WHITE,Yes,White,,1,Female,Male,,,,TMT,,0,Yvette,Hollingsworth Clark,President/CEO,Charlie Scharf,Executive Director,1,10/21/19,,Yes,33951,5/14/12,38703,0,
10,6,,LH,332,18319,LABORATORY CP OF AMER HLDGS,,LABORATORY CORP OF AMERICA HLDGS (LABCORP),14960,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,President/CEO,Adam Schechter,Executive Director,1,11/1/19,5/13/20,Yes,495421,,,,
624,472,,NDAQ,580,42640,NASDAQ INC,,NASDAQ INC (NASDAQ OMX Group Inc prior to 09/2015),149337,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,President/CEO,Adena Friedman,Executive Director,1,1/1/17,1/1/23,Yes,483505,,,,
190,142,,BRK.B,73,4080,BERKSHIRE HATHAWAY,,BERKSHIRE HATHAWAY INC,2176,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,Vice Chairman - Operations,Ajit Jain,Executive Director,1,1/9/18,,Yes,1113697,,,,
395,301,,AOS,496,28304,SMITH (A.O.),,SMITH (AO) CORP,9771,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,Chairman (Executive),Ajita Rajendra,Executive Director,1,9/1/18,5/1/20,Yes,484111,,,,
544,419,,V,626,937594,VISA INC,,VISA INC,179534,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,Chairman/CEO,Al Kelly Jr,Executive Director,1,4/16/19,2/1/23,Yes,33689,,,,
264,204,,WAB,557,33000,WABTEC CORP,,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,60979,1,,,,,HISPANIC/LATIN AMERICAN,No,Hispanic,,,,,,,,CEO,,,,,Chairman (Executive),Al Neupaver,Executive Director,1,5/1/18,7/1/20,Yes,205052,,,,
452,340,,COO,155,7836,COOPER COS INC (THE),,COOPER COMPANIES INC,3504,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,President/CEO,Al White III,Executive Director,1,5/1/18,,Yes,517326,,,,
17,11,,WMB,570,33512,WILLIAMS COS INC,,WILLIAMS COMPANIES INC,11506,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,President/CEO,Alan Armstrong,Executive Director,1,1/3/11,,Yes,443291,,,,
585,450,,AIZ,598,550072,ASSURANT INC,,ASSURANT INC,157057,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,President/CEO,Alan Colberg,Executive Director,1,1/1/15,5/18/21,Yes,853893,,,,
300,233,,UHS,533,31865,UNIVERSAL HEALTH SVCS INC,,UNIVERSAL HEALTH SERVICES INC,11032,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,Chairman/CEO,Alan Miller,Executive Director,1,5/20/09,1/1/21,Yes,81852,,,,
333,254,,IP,683,1985284,INTL PAPER CO,,IMAGINEAR INC (Imagination Park Technologies Inc prior to 04/2020),6104,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,President/CEO,Alen Silverrstieen,Executive Director,1,3/1/19,1/1/21,Yes,2589083,,,,
274,212,,JNJ,314,17478,JOHNSON & JOHNSON,,JOHNSON & JOHNSON,6266,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,Chairman/CEO,Alex Gorsky,Executive Director,1,12/28/12,1/3/22,Yes,747756,,,,
298,231,,ZBRA,575,34075,ZEBRA TECHNOLOGIES CP -CL A,,ZEBRA TECHNOLOGIES CORP,24405,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,CEO,Anders Gustafsson,Executive Director,1,9/4/07,3/1/23,Yes,204453,,,,
630,478,,PM,636,1060044,PHILIP MORRIS INTERNATIONAL,,PHILIP MORRIS INTERNATIONAL INC,179621,0,,,,Mick Farrell,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,CEO,Andr__© Calantzopoulos,Executive Director,1,5/8/13,5/5/21,Yes,36791,,,,
611,462,,IFF,304,16530,INTL FLAVORS & FRAGRANCES,,INTERNATIONAL FLAVORS & FRAGRANCES INC,6078,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,Chairman/CEO,Andreas Fibig,Executive Director,1,12/1/14,2/14/22,Yes,548131,,,,
329,251,,SPG,715,2686564,SIMON PROPERTY GROUP INC,,SPARK POWER GROUP INC (Canaccord Genuity Acquisition Corp prior to 09/2018) (De-listed 12/2023),29389,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,Co-CEO,Andrew Clark,Executive Director,1,8/31/18,1/5/21,Yes,2239576,,,,
614,465,,L,344,19065,LOEWS CORP,,LOEWS CORP,6781,0,,,,,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,Co-Chairman,Andrew Tisch,Executive Director,1,1/10/06,12/31/21,Yes,11269,,,,
534,413,,EA,204,10364,ELECTRONIC ARTS INC,,ELECTRONIC ARTS INC,16721,0,,,,Paul Cormier,CAUCASIAN/WHITE,No,White,,,,,,,,CEO,,,,,CEO,Andrew Wilson,Executive Director,1,9/17/13,8/12/21,Yes,1207036,,,,
