obs,1num,tic,1conm_x,gvkey,1ceo_minority,new_director_source,new_director_name,2director_race(black),2num,2Company,2AnnDate,2permno,TMT_verify_link(Manual Check),*TMT_Active_in_2020_afterMay26(Manual Check),CrossVerify_2role_type,2Confounded,2Interim,2gender(female?),blackTMT?,Num_Black_TMT,EverHad_Black_TMT,3num,3CompanyID,3DirectorID,3CompanyName,3RoleName,1ethnicity (from boardex),3DateStartRole,3DateEndRole,3Seniority,Director_EverBeen_CEO?,3Director_Active_in_2020_afterMay26
275,418,RHI,ROBERT HALF INTL INC,2312,0,3BoardEx,Harold Messmer Jr,,,,,,,Yes,,,,,,0,0,469,26429,81557,ROBERT HALF INC (Robert Half International Inc prior to 07/2023),Chairman (Executive),CAUCASIAN/WHITE,12/15/19,,Executive Director,0,Yes
276,48,ZION,ZIONS BANCORPORATION NA,11687,0,3BoardEx,Harris Simmons,,,,,,,Yes,,,,,,0,0,578,34139,57861,ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018),Chairman/CEO,CAUCASIAN/WHITE,3/4/14,,Executive Director,1,Yes
277,471,MSCI,MSCI INC,178507,1,3BoardEx,Henry Fernandez,,,,,,,Yes,,,,,,0,0,634,1041062,598481,MSCI INC,Chairman/CEO,HISPANIC/LATIN AMERICAN,10/31/17,,Executive Director,1,Yes
278,296,INCY,INCYTE CORP,29127,0,3BoardEx,Herv___© Hoppenot,,,,,,,Yes,,,,,,0,0,298,15783,1249099,INCYTE CORP (Incyte Genomics prior to 03/2003),Chairman/President/CEO,PREFER NOT TO DISCLOSE,5/22/15,6/5/23,Executive Director,1,Yes
279,425,WU,WESTERN UNION CO,175263,0,3BoardEx,Hikmet Ersek,0,139,Western Union,11/15/21,91461,,Yes,CEO,0,0,0,,0,0,621,840164,502258,WESTERN UNION CO,President/CEO,CAUCASIAN/WHITE,9/1/10,12/31/21,Executive Director,1,Yes
280,124,MNST,MONSTER BEVERAGE CORP,24316,0,3BoardEx,Hilton Schlosberg,,,,,,,Yes,,,,,,0,0,266,14301,343710,MONSTER BEVERAGE CORP (Hansen Natural Corp prior to 12/2011),Vice Chairman/President/CFO/COO/Secretary,CAUCASIAN/WHITE,7/1/96,1/13/21,Executive Director,0,Yes
281,352,AVGO,BROADCOM INC,180711,1,3BoardEx,Hock Tan,,,,,,,Yes,,,,,,0,0,618,817439,102722,BROADCOM INC (Broadcom Ltd prior to 04/2018),President/CEO,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),8/6/09,,Executive Director,1,Yes
282,306,BBY,BEST BUY CO INC,2184,0,3BoardEx,Hubert Joly,0,60,Best Buy,2/25/02,85914,,Yes,CEO,0,0,0,,0,0,75,4118,801207,BEST BUY CO INC,Chairman (Executive),CAUCASIAN/WHITE,6/11/19,6/11/20,Executive Director,0,Yes
283,98,K,KELLOGG CO,6375,0,3BoardEx,J Rollinson,,,,,,,Yes,,,,,,0,0,326,17958,889546,KINROSS GOLD CORP,President/CEO,CAUCASIAN/WHITE,10/1/14,,Executive Director,1,Yes
284,238,PBCT,PEOPLE'S UNITED FINL INC,16245,0,3BoardEx,Jack Barnes,,,,,,,Yes,,,,,,0,0,627,1013530,204547,PEOPLE'S UNITED FINANCIAL INC (De-listed 04/2022),Chairman/CEO,CAUCASIAN/WHITE,6/26/18,4/4/22,Executive Director,1,Yes
285,447,TWTR,TWITTER INC,18872,0,3BoardEx,Jack Dorsey,,,,,,,Yes,,,,,,0,0,691,2006706,1132809,TWITTER INC (De-listed 10/2022),CEO,CAUCASIAN/WHITE,9/30/15,11/29/21,Executive Director,1,Yes
286,473,NLSN,NIELSEN HOLDINGS PLC,100873,0,2Bermiss,Jamere Jackson,1,200,Nielsen Holdings plc,2/24/14,12542,,,TMT,1,,0,1,1,1,659,1684303,140602,NIELSEN HOLDINGS PLC (Nielsen NV prior to 08/2015) (De-listed 10/2022),CEO/Chief Diversity Officer,CAUCASIAN/WHITE,1/1/19,3/23/21,Executive Director,1,Yes
287,379,BA,BOEING CO,2285,0,2Bermiss,James Bell,1,160,Boeing,1/6/04,19561,,,TMT,0,,0,1,2,1,,,,,,CAUCASIAN/WHITE,,,,0,No
288,379,BA,BOEING CO,2285,0,2Bermiss,James Bell,1,4,Boeing Company,3/7/05,19561,,No,CEO,0,1,0,1,2,1,,,,,,CAUCASIAN/WHITE,,,,0,No
289,470,MS,MORGAN STANLEY,12124,0,3BoardEx,James Gorman,,,,,,,Yes,,,,,,0,0,385,21105,34080,MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002),Chairman/CEO,CAUCASIAN/WHITE,1/1/12,1/1/24,Executive Director,1,Yes
290,144,DE,DEERE & CO,3835,0,3BoardEx,James Paterson,,,,,,,Yes,,,,,,0,0,689,1987627,2784754,DECISIVE DIVIDEND CORP,Chairman/CEO,CAUCASIAN/WHITE,9/24/13,5/31/21,Executive Director,1,Yes
291,55,KO,COCA-COLA CO,3144,0,3BoardEx,James Quincey,1,176,Coca-Cola,7/17/08,11308,https://www.coca-colacompany.com/media-center/coca-cola-chief-administrative-officer-alexander-b-cummings-to-retire,No,TMT,1,,0,1,3,1,140,7204,877797,COCA-COLA CO,Chairman/CEO,CAUCASIAN/WHITE,4/24/19,,Executive Director,1,Yes
292,55,KO,COCA-COLA CO,3144,0,3BoardEx,James Quincey,1,243,Coca-Cola,2/20/14,11308,,,TMT,1,,1,1,3,1,140,7204,877797,COCA-COLA CO,Chairman/CEO,CAUCASIAN/WHITE,4/24/19,,Executive Director,1,Yes
293,55,KO,COCA-COLA CO,3144,0,3BoardEx,James Quincey,1,220,Coca-Cola,1/13/04,11308,,,TMT,1,,1,1,3,1,140,7204,877797,COCA-COLA CO,Chairman/CEO,CAUCASIAN/WHITE,4/24/19,,Executive Director,1,Yes
294,4,JBHT,HUNT (JB) TRANSPRT SVCS INC,5783,0,3BoardEx,James Thompson,,,,,,,Yes,,,,,,0,0,290,15223,141642,HUNT(J.B.)TRANSPORT SERVICES INC,Chairman,CAUCASIAN/WHITE,1/1/11,1/1/21,Executive Director,0,Yes
295,464,JPM,JPMORGAN CHASE & CO,2968,0,3BoardEx,Jamie Dimon,,,,,,,Yes,,,,,,0,0,316,17528,33908,JPMORGAN CHASE & CO,Chairman/CEO,CAUCASIAN/WHITE,1/30/18,,Executive Director,1,Yes
296,251,SPG,SIMON PROPERTY GROUP INC,29389,0,3BoardEx,Jason Sparaga,,,,,,,Yes,,,,,,0,0,714,2686564,2235636,SPARK POWER GROUP INC (Canaccord Genuity Acquisition Corp prior to 09/2018) (De-listed 12/2023),Co-CEO,CAUCASIAN/WHITE,8/31/18,1/5/21,Executive Director,1,Yes
297,421,DVA,DAVITA INC,61483,1,3BoardEx,Javier Rodriguez,,,,,,,Yes,,,,,,0,0,175,8783,655130,DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016),CEO,HISPANIC/LATIN AMERICAN,6/1/19,,Executive Director,1,Yes
298,268,CPRT,COPART INC,29901,0,3BoardEx,Jay Adair,,,,,,,Yes,,,,,,0,0,158,7852,183351,COPART INC,CEO,CAUCASIAN/WHITE,2/12/10,4/1/22,Executive Director,1,Yes
299,149,CCI,CROWN CASTLE INC,113490,0,3BoardEx,Jay Brown,,,,,,,Yes,,,,,,0,0,163,8304,620002,CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022),President/CEO,CAUCASIAN/WHITE,6/1/16,1/16/24,Executive Director,1,Yes
300,351,ANET,ARISTA NETWORKS INC,20748,1,3BoardEx,Jayshree Ullal,,,,,,,Yes,,,,,,0,0,697,2073894,765053,ARISTA NETWORKS INC,President/CEO,INDIAN/SOUTH ASIAN,6/6/14,12/1/23,Executive Director,1,Yes
301,327,ARE,ALEXANDRIA R E EQUITIES INC,64821,0,3BoardEx,Jean-Louis Servranckx,,,,,,,Yes,,,,,,0,0,581,72259,1206037,AECON GROUP INC,President/CEO,CAUCASIAN/WHITE,6/4/19,,Executive Director,1,Yes
302,397,AMZN,AMAZON.COM INC,64768,0,3BoardEx,Jeff Bezos,,,,,,,Yes,,,,,,0,0,18,1703,45136,AMAZON.COM INC,Chairman/President/CEO,CAUCASIAN/WHITE,10/1/00,7/5/21,Executive Director,1,Yes
303,41,PNW,PINNACLE WEST CAPITAL CORP,1075,0,3BoardEx,Jeff Guldner,,,,,,,Yes,,,,,,0,0,431,24493,891832,PINNACLE WEST CAPITAL CORP,Chairman/President/CEO,CAUCASIAN/WHITE,11/15/19,,Executive Director,1,Yes
304,308,GIS,GENERAL MILLS INC,5071,0,3BoardEx,Jeff Harmening,0,82,General Mills,5/3/17,17144,,Yes,CEO,0,0,0,1,2,1,257,13034,988199,GENERAL MILLS INC,Chairman/CEO,CAUCASIAN/WHITE,1/1/18,,Executive Director,1,Yes
305,308,GIS,GENERAL MILLS INC,5071,0,3BoardEx,Jeff Harmening,1,161,General Mills,5/3/05,17144,,,TMT,1,,0,1,2,1,257,13034,988199,GENERAL MILLS INC,Chairman/CEO,CAUCASIAN/WHITE,1/1/18,,Executive Director,1,Yes
306,308,GIS,GENERAL MILLS INC,5071,0,3BoardEx,Jeff Harmening,1,162,General Mills,5/4/06,17144,,,TMT,1,,0,1,2,1,257,13034,988199,GENERAL MILLS INC,Chairman/CEO,CAUCASIAN/WHITE,1/1/18,,Executive Director,1,Yes
307,337,ORCL,ORACLE CORP,12142,0,3BoardEx,Jeff Henley,1,225,Oracle,1/13/04,10104,,,TMT,1,,0,1,1,1,415,23295,33468,ORACLE CORP,Vice Chairman (Executive),CAUCASIAN/WHITE,9/17/14,,Executive Director,0,Yes
308,1,MHK,MOHAWK INDUSTRIES INC,25119,0,3BoardEx,Jeff Lorberbaum,,,,,,,Yes,,,,,,0,0,383,20964,64542,MOHAWK INDUSTRIES INC,Chairman/CEO,CAUCASIAN/WHITE,11/4/09,,Executive Director,1,Yes
309,154,HAL,HALLIBURTON CO,5439,0,3BoardEx,Jeff Miller,,,,,,,Yes,,,,,,0,0,264,14212,1269010,HALLIBURTON CO,Chairman/President/CEO,CAUCASIAN/WHITE,1/1/19,,Executive Director,1,Yes
310,399,EXPD,EXPEDITORS INTL WASH INC,4494,0,3BoardEx,Jeff Musser,,,,,,,Yes,,,,,,0,0,228,11401,452655,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,President/CEO,CAUCASIAN/WHITE,3/1/14,,Executive Director,1,Yes
311,52,GPN,GLOBAL PAYMENTS INC,141913,0,3BoardEx,Jeff Sloan,,,,,,,Yes,,,,,,0,0,261,13417,1076347,GLOBAL PAYMENTS INC,CEO,CAUCASIAN/WHITE,6/30/14,6/1/23,Executive Director,1,Yes
312,53,ICE,INTERCONTINENTAL EXCHANGE,163610,0,3BoardEx,Jeff Sprecher,,,,,,,Yes,,,,,,0,0,616,815224,489174,INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014),Chairman/CEO,CAUCASIAN/WHITE,11/1/02,,Executive Director,1,Yes
313,171,SBAC,SBA COMMUNICATIONS CORP,121382,0,3BoardEx,Jeff Stoops,,,,,,,Yes,,,,,,0,0,481,27160,346056,SBA COMMUNICATIONS CORP,President/CEO,CAUCASIAN/WHITE,1/1/02,12/31/23,Executive Director,1,Yes
314,89,LUMN,LUMEN TECHNOLOGIES INC,2884,0,3BoardEx,Jeff Storey,,,,,,,Yes,,,,,,0,0,116,6353,730057,LUMEN TECHNOLOGIES INC (CenturyLink Inc prior to 09/2020),President/CEO,CAUCASIAN/WHITE,5/23/18,11/7/22,Executive Director,1,Yes
315,308,GIS,GENERAL MILLS INC,5071,0,2Bermiss,Jeffrey Harmening,0,82,General Mills,5/3/17,17144,,Yes,CEO,0,0,0,1,2,1,260,13273,1015485,GILEAD SCIENCES INC,Chairman/CEO,CAUCASIAN/WHITE,3/1/19,,Executive Director,1,Yes
316,308,GIS,GENERAL MILLS INC,5071,0,2Bermiss,Jeffrey Harmening,0,82,General Mills,5/3/17,17144,,Yes,CEO,0,0,0,1,2,1,257,13034,988199,GENERAL MILLS INC,Chairman/CEO,CAUCASIAN/WHITE,1/1/18,,Executive Director,1,Yes
317,284,KEY,KEYCORP,9783,0,2Bermiss,Jeffrey Weaver,1,247,KeyCorp,7/5/05,64995,,,TMT,0,,0,1,2,1,323,17862,50551,KEYCORP,Chairman/President/CEO,CAUCASIAN/WHITE,5/1/11,5/1/20,Executive Director,1,No
318,368,NVDA,NVIDIA CORP,117768,1,3BoardEx,Jensen Huang,,,,,,,Yes,,,,,,0,0,403,22806,83377,NVIDIA CORP,President/CEO,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),4/1/93,,Executive Director,1,Yes
319,297,DTE,DTE ENERGY CO,3897,0,3BoardEx,Jerry Norcia,,,,,,,Yes,,,,,,0,0,193,9693,534436,DTE ENERGY CO,President/CEO,CAUCASIAN/WHITE,7/1/19,5/5/22,Executive Director,1,Yes
320,483,TPR,TAPESTRY INC,140541,0,2Bermiss,Jide Zeitlin,1,57,Tapestry Inc,9/4/19,88661,,Yes,CEO,1,0,0,,1,1,139,7173,271683,TAPESTRY INC (Coach Inc prior to 10/2017),Chairman/CEO,CAUCASIAN/WHITE,9/4/19,7/20/20,Executive Director,1,Yes
321,483,TPR,TAPESTRY INC,140541,0,3BoardEx,Jide Zeitlin,1,57,Tapestry Inc,9/4/19,88661,,Yes,CEO,1,0,0,,1,1,139,7173,271683,TAPESTRY INC (Coach Inc prior to 10/2017),Chairman/CEO,CAUCASIAN/WHITE,9/4/19,7/20/20,Executive Director,1,Yes
322,113,HSIC,HENRY SCHEIN INC,61494,0,3BoardEx,Jim Breslawski,,,,,,,Yes,,,,,,0,0,276,14669,85387,HENRY SCHEIN INC,Vice Chairman/President,CAUCASIAN/WHITE,5/1/18,,Executive Director,0,Yes
323,140,FLIR,FLIR SYSTEMS INC,28477,0,3BoardEx,Jim Cannon,,,,,,,Yes,,,,,,0,0,237,12112,1301933,FLIR SYSTEMS INC (De-listed 05/2021),President/CEO,CAUCASIAN/WHITE,6/19/17,5/14/21,Executive Director,1,Yes
324,247,CTVA,CORTEVA INC,35168,0,3BoardEx,Jim Collins Jr,,,,,,,Yes,,,,,,0,0,726,3039776,1010737,CORTEVA INC,CEO,CAUCASIAN/WHITE,6/3/19,11/1/21,Executive Director,1,Yes
325,248,DRE,DUKE REALTY CORP,13510,0,3BoardEx,Jim Connor,,,,,,,Yes,,,,,,0,0,194,9730,333005,DUKE REALTY CORP (De-listed 10/2022),Chairman/CEO,CAUCASIAN/WHITE,4/26/17,10/3/22,Executive Director,1,Yes
326,305,AMP,AMERIPRISE FINANCIAL INC,164708,0,3BoardEx,Jim Cracchiolo,,,,,,,Yes,,,,,,0,0,612,667645,33676,AMERIPRISE FINANCIAL INC,Chairman/CEO,CAUCASIAN/WHITE,9/30/05,,Executive Director,1,Yes
327,167,WM,WASTE MANAGEMENT INC,14477,0,3BoardEx,Jim Fish Jr,,,,,,,Yes,,,,,,0,0,563,33114,1119364,WASTE MANAGEMENT INC,President/CEO,CAUCASIAN/WHITE,11/10/16,,Executive Director,1,Yes
328,118,CSX,CSX CORP,2574,0,3BoardEx,Jim Foote,,,,,,,Yes,,,,,,0,0,164,8383,331094,CSX CORP,President/CEO,CAUCASIAN/WHITE,12/22/17,9/26/22,Executive Director,1,Yes
329,298,F,FORD MOTOR CO,4839,0,3BoardEx,Jim Hackett,,,,,,,Yes,,,,,,0,0,243,12262,34156,FORD MOTOR CO,President/CEO,CAUCASIAN/WHITE,5/22/17,10/1/20,Executive Director,1,Yes
330,174,ES,EVERSOURCE ENERGY,7970,0,3BoardEx,Jim Judge,,,,,,,Yes,,,,,,0,0,401,22660,206005,EVERSOURCE ENERGY (Northeast Utilities prior to 02/2015),Chairman/President/CEO,CAUCASIAN/WHITE,5/3/17,5/5/21,Executive Director,1,Yes
331,193,FTV,FORTIVE CORP,26590,0,3BoardEx,Jim Lico,,,,,,,Yes,,,,,,0,0,709,2482889,372492,FORTIVE CORP,President/CEO,CAUCASIAN/WHITE,7/2/16,,Executive Director,1,Yes
332,246,SWK,STANLEY BLACK & DECKER INC,10016,0,3BoardEx,Jim Loree,,,,,,,Yes,,,,,,0,0,503,29065,204774,STANLEY BLACK & DECKER INC,President/CEO,CAUCASIAN/WHITE,8/1/16,2/23/21,Executive Director,1,Yes
333,21,HST,HOST HOTELS & RESORTS INC,7063,0,3BoardEx,Jim Risoleo,,,,,,,Yes,,,,,,0,0,288,15093,205949,HOST HOTELS & RESORTS INC,President/CEO,CAUCASIAN/WHITE,1/1/17,,Executive Director,1,Yes
334,170,NEE,NEXTERA ENERGY INC,4517,0,3BoardEx,Jim Robo,,,,,,,Yes,,,,,,0,0,246,12407,39031,NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010),Chairman/President/CEO,CAUCASIAN/WHITE,12/13/13,3/1/22,Executive Director,1,Yes
335,230,WBA,WALGREENS BOOTS ALLIANCE INC,11264,0,3BoardEx,Jim Skinner,1,254,Walgreens Boots Alliance,11/23/09,19502,,,TMT,1,,1,1,2,1,560,33026,35981,WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),Chairman (Executive),CAUCASIAN/WHITE,1/9/15,3/15/21,Executive Director,0,Yes
336,230,WBA,WALGREENS BOOTS ALLIANCE INC,11264,0,3BoardEx,Jim Skinner,1,134,Walgreens,1/26/21,19502,,Yes,CEO,0,0,1,1,2,1,560,33026,35981,WALGREENS BOOTS ALLIANCE INC (Walgreen Co prior to 12/2014),Chairman (Executive),CAUCASIAN/WHITE,1/9/15,3/15/21,Executive Director,0,Yes
337,218,HRL,HORMEL FOODS CORP,5709,0,3BoardEx,Jim Snee,,,,,,,Yes,,,,,,0,0,284,15070,806078,HORMEL FOODS CORP,Chairman/President/CEO,CAUCASIAN/WHITE,11/20/17,,Executive Director,1,Yes
338,56,NSC,NORFOLK SOUTHERN CORP,7923,0,3BoardEx,Jim Squires,,,,,,,Yes,,,,,,0,0,395,22412,534106,NORFOLK SOUTHERN CORP,Chairman/President/CEO,CAUCASIAN/WHITE,10/1/15,12/1/21,Executive Director,1,Yes
339,465,L,LOEWS CORP,6781,0,3BoardEx,Jim Tisch,,,,,,,Yes,,,,,,0,0,346,19065,36800,LOEWS CORP,President/CEO,CAUCASIAN/WHITE,1/1/99,,Executive Director,1,Yes
340,223,CAT,CATERPILLAR INC,2817,0,3BoardEx,Jim Umpleby III,,,,,,,Yes,,,,,,0,0,106,6052,1079119,CATERPILLAR INC,Chairman/CEO,CAUCASIAN/WHITE,12/12/18,,Executive Director,1,Yes
341,123,MOS,MOSAIC CO,162129,0,3BoardEx,Joc O'Rourke,,,,,,,Yes,,,,,,0,0,599,550358,549793,MOSAIC CO,President/CEO,CAUCASIAN/WHITE,8/5/15,8/29/23,Executive Director,1,Yes
342,222,BAX,BAXTER INTERNATIONAL INC,2086,1,3BoardEx,Joe Almeida,,,,,,,Yes,,,,,,0,0,50,3684,327852,BAXTER INTERNATIONAL INC,Chairman/President/CEO,HISPANIC/LATIN AMERICAN,1/1/16,,Executive Director,1,Yes
343,173,NI,NISOURCE INC,7974,0,3BoardEx,Joe Hamrock,1,165,NiSource,3/24/15,38762,,,TMT,1,,0,1,2,1,394,22260,594908,NISOURCE INC (NIPSCO Industries Inc prior to 04/1999),President/CEO,CAUCASIAN/WHITE,7/1/15,2/14/22,Executive Director,1,Yes
344,173,NI,NISOURCE INC,7974,0,3BoardEx,Joe Hamrock,1,118,NiSource,1/28/22,38762,,Yes,CEO,1,0,0,1,2,1,394,22260,594908,NISOURCE INC (NIPSCO Industries Inc prior to 04/1999),President/CEO,CAUCASIAN/WHITE,7/1/15,2/14/22,Executive Director,1,Yes
345,36,ALGN,ALIGN TECHNOLOGY INC,141384,0,3BoardEx,Joe Hogan,,,,,,,Yes,,,,,,0,0,14,1384,32461,ALIGN TECHNOLOGY INC,President/CEO,CAUCASIAN/WHITE,6/1/15,,Executive Director,1,Yes
346,388,LKQ,LKQ CORP,155394,0,3BoardEx,Joe Holsten,,,,,,,Yes,,,,,,0,0,593,463860,345185,LKQ CORPORATION INC,Chairman (Executive),CAUCASIAN/WHITE,3/6/17,5/10/22,Executive Director,0,Yes
347,47,EXR,EXTRA SPACE STORAGE INC,160479,0,3BoardEx,Joe Margolis,,,,,,,Yes,,,,,,0,0,602,600874,375394,EXTRA SPACE STORAGE INC,CEO,CAUCASIAN/WHITE,5/18/17,,Executive Director,1,Yes
348,333,PSA,PUBLIC STORAGE,10096,0,3BoardEx,Joe Russell Jr,,,,,,,Yes,,,,,,0,0,453,25380,270150,PUBLIC STORAGE (Public Storage Inc prior to 06/2007),President/CEO,CAUCASIAN/WHITE,1/1/19,,Executive Director,1,Yes
349,327,ARE,ALEXANDRIA R E EQUITIES INC,64821,0,3BoardEx,Joel Marcus,,,,,,,Yes,,,,,,0,0,11,1354,182964,ALEXANDRIA REAL ESTATE EQUITIES INC,Chairman (Executive),CAUCASIAN/WHITE,4/23/18,,Executive Director,0,Yes
350,275,MTCH,MATCH GROUP INC,26061,1,3BoardEx,Joey Levin,,,,,,,Yes,,,,,,0,0,541,32019,641282,MATCH GROUP INC (IAC InterActiveCorp prior to 07/2020),CEO,INDIAN/SOUTH ASIAN,6/24/15,6/30/20,Executive Director,1,Yes
351,53,ICE,INTERCONTINENTAL EXCHANGE,163610,0,3BoardEx,Joey St-Aubin,,,,,,,Yes,,,,,,0,0,668,1806144,1194094,CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999),President/CEO,CAUCASIAN/WHITE,3/6/09,,Executive Director,1,Yes
352,264,ATO,ATMOS ENERGY CORP,4383,0,3BoardEx,John Akers,,,,,,,Yes,,,,,,0,0,40,2963,806085,ATMOS ENERGY CORP,President/CEO,CAUCASIAN/WHITE,10/1/19,,Executive Director,1,Yes
353,178,PG,PROCTER & GAMBLE CO,8762,0,3BoardEx,John Begeman,,,,,,,Yes,,,,,,0,0,631,1027070,441971,I-80 GOLD CORP (Premier Gold Mines Ltd prior to 04/2021),Chairman (Executive),CAUCASIAN/WHITE,6/25/15,4/7/21,Executive Director,0,Yes
354,120,REG,REGENCY CENTERS CORP,29099,0,3BoardEx,John Black,,,,,,,Yes,,,,,,0,0,666,1792078,1061422,REGULUS RESOURCES INC,CEO,CAUCASIAN/WHITE,9/30/14,,Executive Director,1,Yes
355,205,CTLT,CATALENT INC,20228,0,3BoardEx,John Chiminski,,,,,,,Yes,,,,,,0,0,698,2129696,1047323,CATALENT INC,Chairman/CEO,CAUCASIAN/WHITE,2/13/19,7/1/22,Executive Director,1,Yes
356,147,APA,APA CORP,1678,0,3BoardEx,John Christmann IV,,,,,,,Yes,,,,,,0,0,33,2307,535064,APA CORP (Apache Corp prior to 03/2021),President/CEO,CAUCASIAN/WHITE,1/20/15,1/1/24,Executive Director,1,Yes
357,9,OKE,ONEOK INC,8151,0,2Bermiss,John Gibson,0,80,"ONEOK, Inc.",11/16/06,25232,,Yes,CEO,1,0,0,,0,0,411,23165,620137,ONEOK INC (WAI Inc prior to 11/1997),President/CEO,CAUCASIAN/WHITE,1/31/14,6/28/21,Executive Director,1,Yes
358,184,BALL,BALL CORP,1988,0,3BoardEx,John Hayes,,,,,,,Yes,,,,,,0,0,49,3439,456592,BALL CORP,Chairman/President/CEO,CAUCASIAN/WHITE,4/24/13,1/1/21,Executive Director,1,Yes
359,461,HES,HESS CORP,1380,0,3BoardEx,John Hess,,,,,,,Yes,,,,,,0,0,23,1970,64947,HESS CORP (Amerada Hess prior to 05/2006),CEO,CAUCASIAN/WHITE,5/16/13,,Executive Director,1,Yes
360,407,LNT,ALLIANT ENERGY CORP,11554,0,3BoardEx,John Larsen,,,,,,,Yes,,,,,,0,0,15,1476,896820,ALLIANT ENERGY CORP,Chair/President/CEO,CAUCASIAN/WHITE,7/1/19,2/27/23,Executive Director,1,Yes
361,110,TYL,TYLER TECHNOLOGIES INC,10789,0,3BoardEx,John Marr Jr,,,,,,,Yes,,,,,,0,0,527,31558,325222,TYLER TECHNOLOGIES INC,Chairman (Executive),CAUCASIAN/WHITE,5/10/18,,Executive Director,0,Yes
362,144,DE,DEERE & CO,3835,0,3BoardEx,John May,,,,,,,No,,,,,,0,0,177,8886,1070838,DEERE & CO,President/CEO,CAUCASIAN/WHITE,11/4/19,5/1/20,Executive Director,1,No
363,457,ED,CONSOLIDATED EDISON INC,3413,0,3BoardEx,John McAvoy,,,,,,,Yes,,,,,,0,0,147,7705,1074910,CONSOLIDATED EDISON INC,Chairman/President/CEO,CAUCASIAN/WHITE,5/12/14,12/29/20,Executive Director,1,Yes
364,287,SHW,SHERWIN-WILLIAMS CO,9667,0,3BoardEx,John Morikis,,,,,,,Yes,,,,,,0,0,492,27786,60662,SHERWIN-WILLIAMS CO,Chairman/CEO,CAUCASIAN/WHITE,3/1/19,3/12/21,Executive Director,1,Yes
365,4,JBHT,HUNT (JB) TRANSPRT SVCS INC,5783,0,3BoardEx,John Roberts III,,,,,,,Yes,,,,,,0,0,291,15223,497950,HUNT(J.B.)TRANSPORT SERVICES INC,President/CEO,CAUCASIAN/WHITE,1/1/11,8/1/22,Executive Director,1,Yes
366,39,NLOK,NORTONLIFELOCK INC,15855,0,2Bermiss,John Thompson,1,133,Symantec,4/14/99,75607,,No,CEO,0,0,0,1,2,1,,,,,,CAUCASIAN/WHITE,,,,0,No
367,145,RF,REGIONS FINANCIAL CORP,4674,0,3BoardEx,John Turner Jr,,,,,,,Yes,,,,,,0,0,597,550049,488345,REGIONS FINANCIAL CORP,President/CEO,CAUCASIAN/WHITE,7/2/18,,Executive Director,1,Yes
368,7,TSN,TYSON FOODS INC -CL A,10793,0,3BoardEx,John Tyson,,,,,,,Yes,,,,,,0,0,529,31563,140460,TYSON FOODS INC,Chairman (Executive),CAUCASIAN/WHITE,11/17/11,,Executive Director,0,Yes
369,242,XRX,XEROX HOLDINGS CORP,11636,0,3BoardEx,John Visentin,1,227,Xerox,2/4/92,27983,,,TMT,1,,0,1,5,1,573,33850,1117881,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),Vice Chairman/CEO,CAUCASIAN/WHITE,5/14/18,6/28/22,Executive Director,1,Yes
370,242,XRX,XEROX HOLDINGS CORP,11636,0,3BoardEx,John Visentin,1,186,Xerox,11/2/15,27983,,,TMT,0,,0,1,5,1,573,33850,1117881,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),Vice Chairman/CEO,CAUCASIAN/WHITE,5/14/18,6/28/22,Executive Director,1,Yes
371,242,XRX,XEROX HOLDINGS CORP,11636,0,3BoardEx,John Visentin,1,245,Xerox,12/7/16,27983,,,TMT,1,,0,1,5,1,573,33850,1117881,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),Vice Chairman/CEO,CAUCASIAN/WHITE,5/14/18,6/28/22,Executive Director,1,Yes
372,242,XRX,XEROX HOLDINGS CORP,11636,0,3BoardEx,John Visentin,1,169,Xerox,4/3/07,27983,,,TMT,0,,1,1,5,1,573,33850,1117881,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),Vice Chairman/CEO,CAUCASIAN/WHITE,5/14/18,6/28/22,Executive Director,1,Yes
373,242,XRX,XEROX HOLDINGS CORP,11636,0,3BoardEx,John Visentin,1,6,Xerox,5/21/09,27983,,Yes,CEO,1,0,1,1,5,1,573,33850,1117881,XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019),Vice Chairman/CEO,CAUCASIAN/WHITE,5/14/18,6/28/22,Executive Director,1,Yes
374,307,CHRW,C H ROBINSON WORLDWIDE INC,65609,0,3BoardEx,John Wiehoff,,,,,,,No,,,,,,0,0,120,6438,67247,CH ROBINSON WORLDWIDE INC,Chairman,CAUCASIAN/WHITE,5/9/19,5/7/20,Executive Director,0,No
