"1coid","tic.x","1conm_x","2Company","3CompanyName","gvkey","1ceo_minority","1ethnicity (from boardex)","ceo_name","2DirectorName","2First","2Last","3FirstName","3LastName","1ceo_race(black)","2BE","3RoleType","3RoleName","3Seniority","2020_Active","2020_Active_May26_Dec31","2020_CEO_Change","2020_2CEOs","2Female","2Gender","2AnnDate","2EndDate","3DateStartRole","3DateEndRole","X3num","X3CompanyID","X3DirectorID","2num","2permno","2Confounded","2Interim","obs","tic.y","conm_x","CrossVerified_ExecType","DirectorName","Ethnicity","Race(black)","BE_fromBermissData","Actual_Bermiss_discrepancy","Minority","Gender","Female","Num_Black_TMT","Active2020","CEO_Appointment_date_within_2020","DirectorName_source"
89,"CINF","CINCINNATI FINANCIAL CORP",NA,"CINCINNATI FINANCIAL CORP","14824",0,"CAUCASIAN/WHITE","Steve Johnston",NA,NA,NA,"Steve","Johnston",NA,NA,"CEO","President/CEO","Executive Director",1,0,NA,NA,NA,NA,NA,NA,"5/2/11","5/2/20",84,6863,270963,NA,NA,NA,NA,91,"CINF","CINCINNATI FINANCIAL CORP","CEO","Steve Johnston","Caucasian/White",0,NA,0,0,"M",0,0,"No",NA,"BoardEx"
90,"ANSS","ANSYS INC",NA,"ANSYS INC","63080",1,"INDIAN/SOUTH ASIAN","Doctor Ajei Gopal",NA,NA,NA,"Ajei","Gopal",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/1/17",NA,31,2257,545851,NA,NA,NA,NA,30,"ANSS","ANSYS INC","CEO","Doctor Ajei Gopal","Asian/Indian",0,NA,0,1,"M",0,0,"Yes",NA,"BoardEx"
91,"VTRS","VIATRIS INC",NA,NA,"7637",0,"CAUCASIAN/WHITE",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"FISV","FISERV INC",NA,NA,"12635",1,"ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"ORLY","O'REILLY AUTOMOTIVE INC",NA,NA,"28180",0,"CAUCASIAN/WHITE",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"CMS","CMS ENERGY CORP",NA,"CMS ENERGY CORP","3439",0,"CAUCASIAN/WHITE","Patti Poppe",NA,NA,NA,"Patti","Poppe",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"7/1/16","12/1/20",93,7147,1094129,NA,NA,NA,NA,100,"CMS","CMS ENERGY CORP","CEO","Patti Poppe","Caucasian/White",0,1,1,0,"F",1,1,"Yes","Retired in 12/1/2020","BoardEx"
95,"LHX","L3HARRIS TECHNOLOGIES INC",NA,"L3HARRIS TECHNOLOGIES INC (Harris Corp prior to 07/2019)","5492",0,"CAUCASIAN/WHITE","Bill Brown",NA,NA,NA,"Bill","Brown",NA,NA,"CEO","Chairman (Executive)/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"6/29/19","6/29/21",278,14355,484620,NA,NA,NA,NA,257,"LHX","L3HARRIS TECHNOLOGIES INC","CEO","Bill Brown","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
96,"DOW","DOW INC",NA,NA,"34443",0,"CAUCASIAN/WHITE",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"K","KELLOGG CO",NA,"KELLANOVA CO (Kellogg Co prior to 10/2023)","6375",0,"CAUCASIAN/WHITE","Steve Cahillane",NA,NA,NA,"Steve","Cahillane",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"3/16/18",NA,260,17777,455061,NA,NA,NA,NA,248,"K","KELLOGG CO","CEO","J Rollinson","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
97,"K","KELLOGG CO",NA,"KELLANOVA CO (Kellogg Co prior to 10/2023)","6375",0,"CAUCASIAN/WHITE","Steve Cahillane",NA,NA,NA,"Steve","Cahillane",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"3/16/18",NA,260,17777,455061,NA,NA,NA,NA,249,"K","KELLOGG CO","CEO","Steve Cahillane","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
98,"UNM","UNUM GROUP",NA,"UNUM GROUP (UnumProvident Corp prior to 03/2007)","12726",0,"CAUCASIAN/WHITE","Rick McKenney",NA,NA,NA,"Rick","McKenney",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"5/21/15",NA,477,31898,340641,NA,NA,NA,NA,436,"UNM","UNUM GROUP","CEO","Rick McKenney","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
99,"ROP","ROPER TECHNOLOGIES INC",NA,"ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015)","24925",0,"CAUCASIAN/WHITE","Laurence Hunn",NA,NA,NA,"Laurence","Hunn",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"9/19/18",NA,422,26544,796522,NA,NA,NA,NA,383,"ROP","ROPER TECHNOLOGIES INC","CEO","Laurence Hunn","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
100,"SCHW","SCHWAB (CHARLES) CORP",NA,"CHARLES SCHWAB CORP","13988",0,"CAUCASIAN/WHITE","Walt Bettinger II",NA,NA,NA,"Walt","Bettinger II",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"10/1/08","10/15/21",429,27292,486476,NA,NA,NA,NA,389,"SCHW","SCHWAB (CHARLES) CORP","CEO","Walt Bettinger II","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
101,"UDR","UDR INC",NA,"UDR INC (United Dominion Realty Trust Inc prior to 03/2007)","10894",0,"CAUCASIAN/WHITE","Tom Toomey",NA,NA,NA,"Tom","Toomey",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/1/19",NA,473,32094,181650,NA,NA,NA,NA,426,"UDR","UDR INC","CEO","Tom Toomey","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
102,"WHR","WHIRLPOOL CORP",NA,"WHIRLPOOL CORP","11465",0,"CAUCASIAN/WHITE","Doctor Marc Bitzer",NA,NA,NA,"Marc","Bitzer",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/1/19","9/1/21",503,33437,485987,NA,NA,NA,NA,463,"WHR","WHIRLPOOL CORP","CEO","Doctor Marc Bitzer","Caucasian/White",0,1,1,0,"M",0,1,"Yes",NA,"BoardEx"
104,"LW","LAMB WESTON HOLDINGS INC",NA,"LAMB WESTON HOLDINGS INC","28790",0,"CAUCASIAN/WHITE","Tom Werner",NA,NA,NA,"Tom","Werner",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"11/9/16",NA,291,2558653,1595178,NA,NA,NA,NA,260,"LW","LAMB WESTON HOLDINGS INC","CEO","Tom Werner","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
105,"MU","MICRON TECHNOLOGY INC",NA,"MICRON TECHNOLOGY INC","7343",1,"INDIAN/SOUTH ASIAN","Sanjay Mehrotra",NA,NA,NA,"Sanjay","Mehrotra",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"5/8/17",NA,331,20589,205405,NA,NA,NA,NA,295,"MU","MICRON TECHNOLOGY INC","CEO","Sanjay Mehrotra","Asian/Indian",0,NA,0,1,"M",0,0,"Yes",NA,"BoardEx"
106,"EVRG","EVERGY INC",NA,"EVERGY INC","6338",0,"CAUCASIAN/WHITE","Terry Bassham",NA,NA,NA,"Terry","Bassham",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"6/5/18","1/4/21",168,2824528,345671,NA,NA,NA,NA,162,"EVRG","EVERGY INC","CEO","Terry Bassham","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
107,"KSU","KANSAS CITY SOUTHERN",NA,"KANSAS CITY SOUTHERN (De-listed 12/2021)","6335",0,"CAUCASIAN/WHITE","Pat Ottensmeyer",NA,NA,NA,"Pat","Ottensmeyer",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"7/1/16","12/14/21",272,17690,489655,NA,NA,NA,NA,247,"KSU","KANSAS CITY SOUTHERN","CEO","Pat Ottensmeyer","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
108,"GL","GLOBE LIFE INC",NA,"GLOBE LIFE INC (Torchmark Corp prior to 08/2019)","10614",0,"CAUCASIAN/WHITE","Gary Coleman",NA,NA,NA,"Gary","Coleman",NA,NA,"CEO","Co-Chairman/Co-CEO","Executive Director",NA,1,1,1,NA,NA,NA,NA,"4/24/14","12/31/22",200,30937,58941,NA,NA,NA,NA,195,"GL","GLOBE LIFE INC","CEO (Co-CEO)","Gary Coleman","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
108,"GL","GLOBE LIFE INC",NA,"GLOBE LIFE INC (Torchmark Corp prior to 08/2019)","10614",0,"CAUCASIAN/WHITE","Gary Coleman",NA,NA,NA,"Gary","Coleman",NA,NA,"CEO","Co-Chairman/Co-CEO","Executive Director",NA,1,1,1,NA,NA,NA,NA,"4/24/14","12/31/22",200,30937,58941,NA,NA,NA,NA,196,"GL","GLOBE LIFE INC","CEO (Co-CEO)","Larry Hutchison","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
108,"GL","GLOBE LIFE INC",NA,"GLOBE LIFE INC (Torchmark Corp prior to 08/2019)","10614",0,"CAUCASIAN/WHITE","Larry Hutchison",NA,NA,NA,"Larry","Hutchison",NA,NA,"CEO","Co-Chairman/Co-CEO","Executive Director",NA,1,1,1,NA,NA,NA,NA,"4/24/14","12/31/22",201,30937,58946,NA,NA,NA,NA,195,"GL","GLOBE LIFE INC","CEO (Co-CEO)","Gary Coleman","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
108,"GL","GLOBE LIFE INC",NA,"GLOBE LIFE INC (Torchmark Corp prior to 08/2019)","10614",0,"CAUCASIAN/WHITE","Larry Hutchison",NA,NA,NA,"Larry","Hutchison",NA,NA,"CEO","Co-Chairman/Co-CEO","Executive Director",NA,1,1,1,NA,NA,NA,NA,"4/24/14","12/31/22",201,30937,58946,NA,NA,NA,NA,196,"GL","GLOBE LIFE INC","CEO (Co-CEO)","Larry Hutchison","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
109,"TYL","TYLER TECHNOLOGIES INC",NA,"TYLER TECHNOLOGIES INC","10789",0,"CAUCASIAN/WHITE","H Moore Jr",NA,NA,NA,"H","Moore Jr",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"5/10/18",NA,471,31558,325238,NA,NA,NA,NA,424,"TYL","TYLER TECHNOLOGIES INC","CEO","H Moore Jr","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
110,"SNA","SNAP-ON INC",NA,"SNAP-ON INC","9778",0,"CAUCASIAN/WHITE","Nick Pinchuk",NA,NA,NA,"Nick","Pinchuk",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"4/23/09",NA,437,28335,206568,NA,NA,NA,NA,399,"SNA","SNAP-ON INC","CEO","Nick Pinchuk","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
111,"STZ","CONSTELLATION BRANDS",NA,"CONSTELLATION BRANDS INC","2710",0,"CAUCASIAN/WHITE","Bill Newlands Jr",NA,NA,NA,"Bill","Newlands Jr",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"3/1/19",NA,444,7753,1130665,NA,NA,NA,NA,108,"STZ","CONSTELLATION BRANDS","CEO","Bill Newlands Jr","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
112,"HSIC","HENRY SCHEIN INC",NA,"HENRY SCHEIN INC","61494",0,"CAUCASIAN/WHITE","Stan Bergman",NA,NA,NA,"Stan","Bergman",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"5/18/05",NA,225,14669,85377,NA,NA,NA,NA,205,"HSIC","HENRY SCHEIN INC","CEO","Stan Bergman","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
113,"FAST","FASTENAL CO",NA,"FASTENAL CO","14225",0,"CAUCASIAN/WHITE","Dan Florness",NA,NA,NA,"Dan","Florness",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/1/16",NA,179,11608,70422,NA,NA,NA,NA,169,"FAST","FASTENAL CO","CEO","Dan Florness","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
114,"AAL","AMERICAN AIRLINES GROUP INC",NA,"AMERICAN AIRLINES GROUP INC (AMR Corp prior to 12/2013)","1045",0,"CAUCASIAN/WHITE","Doug Parker Jr",NA,NA,NA,"Doug","Parker Jr",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"6/4/14","3/31/22",3,2021732,273457,NA,NA,NA,NA,22,"AAL","AMERICAN AIRLINES GROUP INC","CEO","Doug Parker Jr","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
115,"DHI","D R HORTON INC",NA,NA,"25340",0,"CAUCASIAN/WHITE",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"RJF","RAYMOND JAMES FINANCIAL INC",NA,"RAYMOND JAMES FINANCIAL INC","8898",0,"CAUCASIAN/WHITE","Paul Reilly",NA,NA,NA,"Paul","Reilly",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"2/16/17",NA,417,25808,275776,NA,NA,NA,NA,371,"RJF","RAYMOND JAMES FINANCIAL INC","CEO","Paul Reilly","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
117,"CSX","CSX CORP",NA,"CSX CORP","2574",0,"CAUCASIAN/WHITE","Jim Foote",NA,NA,NA,"Jim","Foote",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"12/22/17","9/26/22",104,8383,331094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"FIS","FIDELITY NATIONAL INFO SVCS",NA,"FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006)","165993",0,"CAUCASIAN/WHITE","Gary Norcross",NA,NA,NA,"Gary","Norcross",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"5/30/18","3/9/21",184,6382,516521,NA,NA,NA,NA,172,"FIS","FIDELITY NATIONAL INFO SVCS","CEO","Gary Norcross","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
119,"REG","REGENCY CENTERS CORP",NA,"REGULUS RESOURCES INC","29099",0,"CAUCASIAN/WHITE","Lisa Palmer",NA,NA,NA,"Lisa","Palmer",0,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"1/1/20",NA,411,1792078,1061422,NA,NA,NA,NA,375,"REG","REGENCY CENTERS CORP","CEO","John Black","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
120,"ZTS","ZOETIS INC",NA,NA,"13721",0,"CAUCASIAN/WHITE",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"EPAM","EPAM SYSTEMS INC",NA,"EPAM SYSTEMS INC","187697",0,"CAUCASIAN/WHITE","Arkadiy Dobkin",NA,NA,NA,"Arkadiy","Dobkin",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"2/8/12",NA,160,1796199,1059890,NA,NA,NA,NA,154,"EPAM","EPAM SYSTEMS INC","CEO","Arkadiy Dobkin","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
122,"MOS","MOSAIC CO",NA,"MOSAIC CO","162129",0,"CAUCASIAN/WHITE","Joc O'Rourke",NA,NA,NA,"Joc","O'Rourke",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"8/5/15","8/29/23",317,550358,549793,NA,NA,NA,NA,306,"MOS","MOSAIC CO","CEO","Joc O'Rourke","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
123,"MNST","MONSTER BEVERAGE CORP",NA,"MONSTER BEVERAGE CORP (Hansen Natural Corp prior to 12/2011)","24316",0,"CAUCASIAN/WHITE","Rodney Sacks",NA,NA,NA,"Rodney","Sacks",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"7/1/96","1/13/21",316,14301,343707,NA,NA,NA,NA,303,"MNST","MONSTER BEVERAGE CORP","CEO","Rodney Sacks","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
124,"APD","AIR PRODUCTS & CHEMICALS INC",NA,"AIR PRODUCTS & CHEMICALS INC","1209",1,"MIDDLE-EASTERN/NORTH AFRICAN","Seifi Ghasemi",NA,NA,NA,"Seifi","Ghasemi",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"7/1/14",NA,34,1173,24391,NA,NA,NA,NA,10,"APD","AIR PRODUCTS & CHEMICALS INC","CEO","Seifi Ghasemi","Middle Eastern/Iranian",0,NA,0,1,"M",0,0,"Yes",NA,"BoardEx"
125,"PPL","PPL CORP",NA,"PPL CORP","8455",0,"CAUCASIAN/WHITE","Bill Spence",NA,NA,NA,"Bill","Spence",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"7/1/19","5/31/20",395,24890,333782,NA,NA,NA,NA,340,"PPL","PEMBINA PIPELINE CORP","CEO","Mick Dilger","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
125,"PPL","PPL CORP",NA,"PPL CORP","8455",0,"CAUCASIAN/WHITE","Bill Spence",NA,NA,NA,"Bill","Spence",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"7/1/19","5/31/20",395,24890,333782,NA,NA,NA,NA,352,"PPL","PPL CORP","CEO","Bill Spence","Caucasian/White",0,NA,0,0,"M",0,0,"Yes","Retired in 6/1/2020","BoardEx"
125,"PPL","PPL CORP",NA,"PPL CORP","8455",0,"CAUCASIAN/WHITE","Bill Spence",NA,NA,NA,"Bill","Spence",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"7/1/19","5/31/20",395,24890,333782,NA,NA,NA,NA,353,"PPL","PPL CORP","CEO","Vincent Sorgi","Caucasian/White",0,NA,0,0,"M",0,0,"Yes","Started in 6/1/2020","manually added"
126,"ULTA","ULTA BEAUTY INC",NA,"ULTA BEAUTY INC (Ulta Salon Cosmetics & Fragrance Inc prior to 01/2017)","178704",0,"CAUCASIAN/WHITE","Mary Dillon",NA,NA,NA,"Mary","Dillon",NA,NA,"CEO","CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"7/1/13","6/2/21",475,465379,487099,NA,NA,NA,NA,427,"ULTA","ULTA BEAUTY INC","CEO","Mary Dillon","Caucasian/White",0,NA,0,0,"F",1,0,"Yes",NA,"BoardEx"
128,"LEN","LENNAR CORP",NA,"LENNAR CORP","6669",0,"CAUCASIAN/WHITE","Rick Beckwitt",NA,NA,NA,"Rick","Beckwitt",NA,NA,"CEO","CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"4/11/18","11/2/20",276,18703,67887,NA,NA,NA,NA,263,"LEN","LENNAR CORP","CEO","Rick Beckwitt","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
129,"NCLH","NORWEGIAN CRUISE LINE HLDGS",NA,"NORWEGIAN CRUISE LINE HOLDINGS LTD","104432",1,"HISPANIC/LATIN AMERICAN","Frank Del Rio",NA,NA,NA,"Frank","Del Rio",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"8/4/15","6/30/23",334,1925428,1451131,NA,NA,NA,NA,322,"NCLH","NORWEGIAN CRUISE LINE HLDGS","CEO","Frank Del Rio","Hispanic/Latino",0,NA,0,1,"M",0,0,"Yes",NA,"BoardEx"
130,"RCL","ROYAL CARIBBEAN GROUP",NA,"ROYAL CARIBBEAN CRUISES LTD (ROYAL CARIBBEAN GROUP)","28191",0,"CAUCASIAN/WHITE","Richard Fain",NA,NA,NA,"Richard","Fain",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"4/1/88","1/3/22",410,26625,13413,NA,NA,NA,NA,385,"RCL","ROYAL CARIBBEAN GROUP","CEO","Richard Fain","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
131,"CMG","CHIPOTLE MEXICAN GRILL INC",NA,"COMPUTER MODELLING GROUP LTD","165914",0,"CAUCASIAN/WHITE","Brian Niccol",NA,NA,NA,"Brian","Niccol",0,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"3/1/18",NA,91,598752,1457763,NA,NA,NA,NA,88,"CMG","CHIPOTLE MEXICAN GRILL INC","CEO","Ryan Schneider","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
132,"EW","EDWARDS LIFESCIENCES CORP",NA,"EDWARDS LIFESCIENCES CORP","133366",0,"CAUCASIAN/WHITE","Mike Mussallem",NA,NA,NA,"Mike","Mussallem",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"3/31/00","5/11/23",169,10156,90062,NA,NA,NA,NA,144,"EW","EDWARDS LIFESCIENCES CORP","CEO","Mike Mussallem","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
132,"EW","EDWARDS LIFESCIENCES CORP",NA,"EDWARDS LIFESCIENCES CORP","133366",0,"CAUCASIAN/WHITE","Mike Mussallem",NA,NA,NA,"Mike","Mussallem",NA,NA,"CEO","Chairman/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"3/31/00","5/11/23",169,10156,90062,NA,NA,NA,NA,145,"EW","EDWARDS LIFESCIENCES CORP","CEO","Nick DeMare","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
133,"SWKS","SKYWORKS SOLUTIONS INC",NA,"SKYWORKS SOLUTIONS INC (Alpha Industries prior to 6/2002)","1327",0,"CAUCASIAN/WHITE","Liam Griffin",NA,NA,NA,"Liam","Griffin",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"5/11/16","5/13/21",447,1573,327486,NA,NA,NA,NA,395,"SWKS","SKYWORKS SOLUTIONS INC","CEO","Liam Griffin","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
134,"HSY","HERSHEY CO",NA,"HERSHEY CO (THE)","5597",0,"CAUCASIAN/WHITE","Michele Buck",NA,NA,NA,"Michele","Buck",NA,NA,"CEO","Chairman/President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"10/11/19",NA,227,14714,485170,NA,NA,NA,NA,206,"HSY","HERSHEY CO","CEO","Michele Buck","Caucasian/White",0,NA,0,0,"F",1,0,"Yes",NA,"BoardEx"
135,"LVS","LAS VEGAS SANDS CORP",NA,"LAS VEGAS SANDS CORP","161844",0,"CAUCASIAN/WHITE","Sheldon Adelson",NA,NA,NA,"Sheldon","Adelson",NA,NA,"CEO","Chairman/CEO/Treasurer","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"8/1/04","1/11/21",290,603630,373289,NA,NA,NA,NA,261,"LVS","LAS VEGAS SANDS CORP","CEO","Sheldon Adelson","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
136,"WYNN","WYNN RESORTS LTD",NA,"WYNN RESORTS LTD","149318",0,"CAUCASIAN/WHITE","Matt Maddox",NA,NA,NA,"Matt","Maddox",NA,NA,"CEO","CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"5/29/19","1/31/22",511,136226,488858,NA,NA,NA,NA,465,"WYNN","WYNN RESORTS LTD","CEO","Matt Maddox","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
137,"BR","BROADRIDGE FINANCIAL SOLUTNS",NA,NA,"176928",0,"CAUCASIAN/WHITE",NA,NA,NA,NA,NA,NA,NA,NA,"CEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"KIM","KIMCO REALTY CORP",NA,"KIMCO REALTY CORP","24731",0,"CAUCASIAN/WHITE","Conor Flynn",NA,NA,NA,"Conor","Flynn",NA,NA,"CEO","CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"2/27/17",NA,265,17915,888666,NA,NA,NA,NA,253,"KIM","KIMCO REALTY CORP","CEO","Conor Flynn","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
139,"FLIR","FLIR SYSTEMS INC",NA,"FLIR SYSTEMS INC (De-listed 05/2021)","28477",0,"CAUCASIAN/WHITE","Jim Cannon",NA,NA,NA,"Jim","Cannon",NA,NA,"CEO","President/CEO","Executive Director",NA,1,NA,NA,NA,NA,NA,NA,"6/19/17","5/14/21",186,12112,1301933,NA,NA,NA,NA,178,"FLIR","FLIR SYSTEMS INC","CEO","Jim Cannon","Caucasian/White",0,NA,0,0,"M",0,0,"Yes",NA,"BoardEx"
